;;; 
Import: Release 11.2.0.2.0 - Production on Thu Sep 3 15:27:10 2026

Copyright (c) 1982, 2009, Oracle and/or its affiliates.  All rights reserved.
;;; 
Connected to: Oracle Database 11g Express Edition Release 11.2.0.2.0 - 64bit Production
Master table "SYSTEM"."SYS_IMPORT_SCHEMA_01" successfully loaded/unloaded
Starting "SYSTEM"."SYS_IMPORT_SCHEMA_01":  system/********@XE DIRECTORY=BACKUP_DIR DUMPFILE=gxcontableDP20260901.dmp LOGFILE=gxcontable_import.log SCHEMAS=GXCONTABLE REMAP_TABLESPACE=TABLASMIGRACION:USERS 
Processing object type SCHEMA_EXPORT/SEQUENCE/SEQUENCE
Processing object type SCHEMA_EXPORT/TABLE/TABLE
Processing object type SCHEMA_EXPORT/TABLE/TABLE_DATA
. . imported "GXCONTABLE"."RETENGCIAS"                       0 KB       0 rows
. . imported "GXCONTABLE"."ROLEAPPPRMPROP"                   0 KB       0 rows
. . imported "GXCONTABLE"."ROLEAPPTYPEPRM"                   0 KB       0 rows
. . imported "GXCONTABLE"."ROLEAPPTYPEPRMPROP"               0 KB       0 rows
. . imported "GXCONTABLE"."ROLELNG"                          0 KB       0 rows
. . imported "GXCONTABLE"."ROLEMEMROLE"                      0 KB       0 rows
. . imported "GXCONTABLE"."ROLEPROP"                         0 KB       0 rows
. . imported "GXCONTABLE"."RUBROSCOMPRAS"                    0 KB       0 rows
. . imported "GXCONTABLE"."RUBROXCUENTACOMPRAS"              0 KB       0 rows
. . imported "GXCONTABLE"."SECURITYPOLICYLNG"                0 KB       0 rows
. . imported "GXCONTABLE"."SESSIONHISTORY"                   0 KB       0 rows
. . imported "GXCONTABLE"."SESSIONHISTORYLOG"                0 KB       0 rows
. . imported "GXCONTABLE"."SESSIONHISTORYLOGATT"             0 KB       0 rows
. . imported "GXCONTABLE"."SESSIONLOG"                       0 KB       0 rows
. . imported "GXCONTABLE"."SOFTWARECABE"                     0 KB       0 rows
. . imported "GXCONTABLE"."SOFTWAREDETA"                     0 KB       0 rows
. . imported "GXCONTABLE"."TABLEROSUAFCABE"                  0 KB       0 rows
. . imported "GXCONTABLE"."TABLEROSUAFDETA"                  0 KB       0 rows
. . imported "GXCONTABLE"."TIPOBIENMUEBLES"                  0 KB       0 rows
. . imported "GXCONTABLE"."UBICACIONTEST"                    0 KB       0 rows
. . imported "GXCONTABLE"."USERAPP"                          0 KB       0 rows
. . imported "GXCONTABLE"."USERAPPPRMPROP"                   0 KB       0 rows
. . imported "GXCONTABLE"."USERAPPPROP"                      0 KB       0 rows
. . imported "GXCONTABLE"."USERATT"                          0 KB       0 rows
. . imported "GXCONTABLE"."USERATTMULTIVALUE"                0 KB       0 rows
. . imported "GXCONTABLE"."USERHISPWD"                       0 KB       0 rows
. . imported "GXCONTABLE"."USERMEMAPPROLE"                   0 KB       0 rows
. . imported "GXCONTABLE"."USERMEMAPPROLEPROP"               0 KB       0 rows
. . imported "GXCONTABLE"."USERMEMAPPROLEREST"               0 KB       0 rows
. . imported "GXCONTABLE"."USERMEMROLEPROP"                  0 KB       0 rows
. . imported "GXCONTABLE"."USERREPOSITORYPROP"               0 KB       0 rows
. . imported "GXCONTABLE"."USUARIOSXMODULO"                  0 KB       0 rows
Processing object type SCHEMA_EXPORT/PROCEDURE/PROCEDURE
Processing object type SCHEMA_EXPORT/PROCEDURE/ALTER_PROCEDURE
ORA-39083: Object type ALTER_PROCEDURE failed to create with error:
ORA-04052: error occurred when looking up remote object DBO.INTEGRACIONEXISTENCIAS@MSSQL
ORA-00604: error occurred at recursive SQL level 3
ORA-02019: connection description for remote database not found
Failing sql is:

ALTER PROCEDURE "GXCONTABLE"."SP_CARGA_INT_EXIST_CTRL_AMER"   COMPILE     PLSQL_OPTIMIZE_LEVEL=  2    PLSQL_CODE_TYPE=  INTERPRETED    PLSQL_DEBUG=  FALSE    PLSCOPE_SETTINGS=  'IDENTIFIERS:NONE' REUSE SETTINGS TIMESTAMP 
ORA-39083: Object type ALTER_PROCEDURE failed to create with error:
